name,flag,flag_sersic,xc_centroid,yc_centroid,ellipticity_centroid,elongation_centroid,orientation_centroid,xc_asymmetry,yc_asymmetry,ellipticity_asymmetry,elongation_asymmetry,orientation_asymmetry,flux_circ,flux_ellip,rpetro_circ,rpetro_ellip,rmax_circ,rmax_ellip,rhalf_circ,rhalf_ellip,r20,r50,r80,gini,m20,gini_m20_bulge,gini_m20_merger,sn_per_pixel,concentration,asymmetry,smoothness,multimode,intensity,deviation,outer_asymmetry,shape_asymmetry,sersic_amplitude,sersic_rhalf,sersic_n,sersic_xc,sersic_yc,sersic_ellip,sersic_theta,sersic_chi2_dof,sky_mean,sky_median,sky_sigma,xmin_stamp,ymin_stamp,xmax_stamp,ymax_stamp,nx_stamp,ny_stamp,m,score
AGN_g2.71e12_14.png,2.0,0.0,250.95032570768703,246.31925634336585,0.23849683864603746,1.3131921845498145,-0.6206548711423707,250.2500000107664,245.75833317516984,0.2383106228254425,1.3128711387697725,-0.6204551509090575,1293958.6135659842,1402752.470510236,152.5577576280347,175.79556872545876,356.0286566016938,463.6702665323584,38.254322958729894,43.81658169024745,36.644629956342726,69.42357629169375,98.87235746450764,0.3595612508261721,-1.6654842021841652,-1.0259912562968223,-0.20253666578568869,3.4887597146468514,2.155322744570802,0.041880413514827436,0.07208692864242765,0.004987834549878345,0.4762867223708907,0.03990506513693397,0.04501824010929005,0.015945666719374856,56.341997807355135,94.32717009062004,0.5199342567757311,250.5643663584732,246.80627647842445,0.302856877217198,2.6858010858173884,2.4362125417630027,-21.105718029866907,-30.310729933970343,12.94004364460979,0.0,0.0,499.0,499.0,500.0,500.0,37873300059.6656,0.012344707804732001
AGN_g2.20e13_08.png,2.0,0.0,248.78264164271457,248.4098836988284,0.22590556675161544,1.2918320518126358,-0.2290476042716444,244.25392773403263,249.24803695289864,0.23008610813317465,1.2988465470798043,-0.2278246826549189,1062634.4844610873,1146912.7544187326,147.84650436125926,169.02864138937468,356.7514602364203,435.2545310996797,30.87000486503755,35.09848922263512,36.753886420664394,66.44757056319943,94.54464111243172,0.3630361460005751,-1.6212378765363482,-1.039453228857464,-0.19294628029798305,2.201531161167785,2.0516682435443068,-0.0904742269153056,-0.0832140880982011,0.002155887230514096,0.03384513081948076,0.004229079477170449,-0.0619517984780518,0.022516939728402987,61.5350172589429,82.93254911984741,0.4760633550422837,248.72054605077355,248.35633852785492,0.18969681903483201,2.919721161732975,1.3186867133556197,-21.81154960075612,-38.028429766086454,21.626345452626648,0.0,0.0,499.0,499.0,500.0,500.0,291156526945.0569,0.0074175330111756
AGN_g4.84e12_00.png,2.0,0.0,249.44218748902802,244.9984955803052,0.4113678586730173,1.698853884780485,-1.0285107330984673,244.7552898150022,249.745850712392,0.4151883354084637,1.7099522129033682,-1.0228458964647165,879314.2076666319,1360306.259800785,161.55338222620648,218.58022513179938,356.3893413180449,598.5406996977914,32.94297514158413,42.75579888221346,35.34340305447521,63.44818791673645,88.99545571764808,0.3647206160430953,-1.6553520011108398,-1.0074740138168663,-0.19602051827174247,3.069670732698292,2.0052973393619484,0.03587352752786417,0.07894068266871752,0.005423394551953654,0.7098659822054026,0.019869168570375226,0.06066433152735135,0.0179515112633118,55.23845686240134,116.84751463697413,0.4640994266172005,249.4729195721175,245.7519600272594,0.4778359721931389,2.096092606526345,2.838841398484984,-32.015143330783964,-40.96422232423802,13.690717046864867,0.0,0.0,499.0,499.0,500.0,500.0,92999393584.8216,0.0504951726645231
AGN_g1.44e13_15.png,0.0,0.0,249.14475409545932,250.6325959498573,0.16833745546740475,1.2024107693367536,-0.38287857900655,248.74999994813942,250.74468096977185,0.16836497065966216,1.202450551888382,-0.3828553189312156,1693351.902243014,1737785.4214818613,140.05933309582642,152.04591280774363,354.25690898074083,414.724287129928,45.04584088589203,49.41255875630585,32.50022888010553,63.47832615185519,97.66713523291016,0.42508416503363305,-1.7480977700907334,-0.644401628410638,-0.14915226665931527,4.209595987132358,2.3893101486590838,0.038423918660206335,0.05735994398552295,0.0033308660251665434,0.01071829914518882,0.00991347447898585,0.03814956338554897,0.009377903325332356,52.98219823007518,71.61956182407202,0.789844993879405,248.59922946434918,250.27596480947705,0.14697590431737734,2.734761874626947,1.71666341806108,-9.249702658427909,-16.179818427391908,10.09022536728933,0.0,0.0,499.0,499.0,500.0,500.0,748127080172.3615,0.005017778975889
AGN_g5.55e11_01.png,2.0,0.0,249.52014668544757,240.09755534407745,0.3401326085421662,1.5154560036535782,1.2193956866974278,251.25000067560296,244.2499988476412,0.3412805784554737,1.518097033871051,1.219128331003624,3514373.722617434,3587011.9953315067,156.07401961349544,188.7693927961016,357.8045918187989,514.4525751954753,72.46153632212112,87.04439319704655,43.51966065539597,77.95648771010856,116.64797333021072,0.40425610312114185,-1.4841665181921768,-0.9304048924431694,-0.1330856039387822,18.91578668135572,2.1409584868375493,0.1805880964739828,0.09766932461680464,0.0013644662246564813,0.9156949132281892,0.2631851086010293,0.2587370824666061,0.029706942671968363,72.90238049778796,100.14262786697887,0.5050857815527653,250.3836845816625,240.76109787565213,0.3909760162918454,1.201517078671839,8.274889894035269,-5.943389554921413,-7.727753370534183,2.774867198799692,0.0,0.0,499.0,499.0,500.0,500.0,15468719409.804394,0.0196919770911335
AGN_g5.36e11_16.png,2.0,0.0,237.4464880217249,269.1595466825284,0.2448977745274289,1.3243240004678345,-0.3868616910407393,244.7500013781351,262.7499998044511,0.2491248311574745,1.3317792910125137,-0.3979425496476055,3478382.840202679,3517274.482829262,166.14176599105352,189.2629013419704,365.62361000960715,464.172710447174,74.86804123315811,87.46983004631664,45.503096404179296,79.04895658871176,116.30350136698351,0.3943394758000331,-1.4558280596395368,-0.9991307494596372,-0.13896401924786286,13.742014738938279,2.0377591946180797,0.244751344001582,0.07761358925234019,0.0325418482466501,0.9177871216721808,0.2236830057301263,0.3390507295553269,0.0718330655746078,66.98201069772948,90.96391125260722,0.4391126946049849,240.02951429438,265.2438650070886,0.15299527716056305,2.719496935561581,8.310125299704548,-6.138997245763756,-8.742735729345824,3.532652555400787,0.0,0.0,499.0,499.0,500.0,500.0,9639720103.341452,0.0235092486487701
AGN_g2.04e11_13.png,2.0,0.0,247.8094586198551,248.71693616797432,0.04226608262431797,1.0441313415527067,1.4461762579981912,249.2500005797324,248.2500001004136,0.042023185756184134,1.0438666000380763,1.4472949791337637,4633808.530594754,4633546.2355251685,152.3743658774298,155.9431970671818,353.90764990328523,363.2385247580442,81.31843512386345,83.08424427140366,48.836952886847655,83.4049153124575,118.62300661199802,0.34808316610611845,-1.4767113075028042,-1.2136273916752702,-0.18766053729783247,27.561886899075972,1.927101842584052,0.16628635102957515,0.08636460671441998,0.625,0.9949589561343536,0.16316376292499102,0.25220250138482475,0.006146204703838518,85.77783779032092,85.22688097227069,0.3570872458586103,249.14180206553158,247.65362858835255,0.03632607700637098,1.6004474700921016,10.072813758318755,-2.63452116679556,-3.9987546561739578,2.300857637768201,0.0,0.0,499.0,499.0,500.0,500.0,5085681761.27786,0.0287530651548877
AGN_g3.61e11_02.png,2.0,2.0,170.1226434147043,41.684226313564274,0.377808571706049,1.6072223989681118,0.06340411558778672,173.00144500813903,37.301449196457455,0.27771145426890786,1.3844882435285075,-0.5250849892846292,2187.8113062703014,2163.411571981589,19.719790245450067,44.070583955635996,45.058681929729396,59.12511657405794,14.088406356877973,17.630999736692104,8.120738566407294,13.740283515691972,19.388565124078266,0.4336418013220527,-0.5226261550378379,-1.4512931580146176,0.02966034775857257,1.1045149713973883,1.8897507020516544,-1.5952082941614834,-0.2490133031611687,0.5254237288135594,0.6324551967138033,0.28075090103482786,-0.15016417443789826,0.12341074178470705,1.4065350172046835,17.630999736692104,1.0,173.00144500813903,37.301449196457455,0.27771145426890786,2.616507664305164,-99.0,0.6080107744606423,-2.4698789044806126,5.661689013192201,142.0,11.0,201.0,70.0,60.0,60.0,16801557079.045824,0.0030473754159174
AGN_g6.57e12_19.png,2.0,0.0,247.7469612458701,243.48945089605328,0.09583161620417846,1.1059886829949357,-0.4445767308805224,244.25739101603344,240.7567598359185,0.0926102427102502,1.1020622527047963,-0.4234415250273582,1482155.9038884053,1516252.1278717774,156.04176979015844,162.63204342039384,362.74421831698646,395.4747166580567,43.247080739736965,45.43142289653261,36.97556257239334,67.51841170206565,97.23338169799442,0.4052840049652543,-1.6572830857334455,-0.8053469970087139,-0.15613118400134726,3.5732576174796096,2.0995030002033883,0.06698838018445441,0.07296067032696651,0.0029304844573039552,0.019463307650187358,0.02122300057586567,0.08964277528169294,0.053195769284603685,58.30534335216941,79.627742547602,0.5639802705110498,248.27306190487585,243.64503958267525,0.11453296954984132,2.7605785841486608,2.2237930749216535,-21.698818311413326,-29.835388348955004,12.103693840003915,0.0,0.0,499.0,499.0,500.0,500.0,153112531212.27344,0.0115193217527121
AGN_g2.37e13_09.png,0.0,0.0,249.13713759611855,251.26056136253936,0.2542122819180598,1.3408641303075592,-1.201577689571338,251.2499999457229,251.2549037000377,0.25266066271148824,1.3380802402670102,-1.1993383095621175,1293986.1821368951,1404401.6085184363,139.13471640270086,159.96839444442537,328.8105258975905,424.1604161723002,39.89317146319532,46.028605867395505,35.06308978273376,63.617231347104685,90.99977293622344,0.3519496400118187,-1.6246874906412958,-1.0919408509270796,-0.20440141758743965,1.7905767147063076,2.0709506245172444,-0.09598013497430677,-0.1135429346255922,0.005904238110643805,0.021941881674163097,0.00651384764377504,-0.03371389686154752,0.015106674304359656,59.97744138253014,80.59718783602754,0.4949403035105743,249.5158189160519,250.66173662266425,0.2366097226695489,1.9758498422719952,1.0985859999108294,-21.34283653135276,-40.79041792136341,27.41601952273697,17.0,21.0,478.0,482.0,462.0,462.0,518070542794.5391,0.0075732801109552
